code	label_sv	altLabel_sv	comment_sv	iso_639_2_b	iso_639_2_t	iso_639_3	map_to_code
gre	Nygrekiska		1453-	gre	ell	ell	
grn	Guaraní			grn			
gsw	Schweizertyska			gsw			
guj	Gujarati			guj			
gwi	Gwich'in			gwi			
hai	Haida			hai			
hat	Haitisk kreol			hat			
hau	Hausa			hau			
haw	Hawaiiska			haw			
heb	Hebreiska			heb			
her	Herero			her			
hil	Hiligaynon			hil			
him	Pahari	Himachali		him			
hin	Hindi			hin			
hit	Hettitiska språk			hit			
hmn	Hmongspråk			hmn			
hmo	Hiri Motu			hmo			
hrv	Kroatiska			hrv			
hsb	Högsorbiska			hsb			
hun	Ungerska			hun			
hup	Hupa			hup			
iba	Iban			iba			
ibo	Ibo	Igbo		ibo			
ice	Isländska			ice	isl	isl	
ido	Ido			ido			
iii	Sichuan Yi			iii			
ijo	Ijo			ijo			
iku	Inuktitut			iku			
ile	Interlingue	Occidental		ile			
ilo	Ilokano	Ilocano		ilo			
ina	Interlingua		International Auxiliary Language Association; konstgjort språk	ina			
inc	Indo-ariska språk (övriga)			inc			
ind	Indonesiska			ind			
ine	Indoeuropeiska språk (övriga)			ine			
inh	Ingusjiska			inh			
ipk	Iñupiaq	Inupiaq|Inupiak|Inupiatun		ipk			
ira	Iranska språk (övriga)			ira			
iro	Irokesiska språk (övriga)			iro			
ita	Italienska			ita			
jav	Javanska			jav			
jbo	Lojban		Konstgjort språk	jbo			
jpn	Japanska			jpn			
jpr	Judepersiska			jpr			
jrb	Judearabiska			jrb			
kaa	Karakalpakiska			kaa			
kab	Kabyliska			kab			
kac	Kachin			kac			
kal	Grönländska	Kalaallisut		kal			
kam	Kamba			kam			
kan	Kannada	Kanaresiska		kan			
kar	Karenspråk			kar			
kas	Kashmiri			kas			
kau	Kanuri			kau			
kaw	Fornjavanska	Kawi		kaw			
kaz	Kazakiska	Kazach		kaz			
kbd	Kabardinska	Östtjerkessiska|Östcircassiska		kbd			
kha	Khasi			kha			
khi	Khoisanspråk			khi			
khm	Kambodjanska	Khmer		khm			
kho	Sakiska	Khotanesiska|Khotansakiska		kho			
kik	Kikuyu	Gikuyu		kik			
kin	Rwanda	Kinyarwanda		kin			
kir	Kirgiziska			kir			
kmb	Mbundu	Kimbundu		kmb			
kok	Konkani			kok			
kom	Komi			kom			
kon	Kikongo	Koongo|Kongo		kon			
kor	Koreanska			kor			
kos	Kusaie			kos			
kpe	Kpelle			kpe			
krc	Karatjajbalkariska			krc			
krl	Karelska			krl			
kro	Kruspråk (övriga)			kro			
kru	indisk kurux			kru			
kua	Oshiwambo	Oshivambo|Ndongaspråk		kua			
kum	Kumyk			kum			
kur	Kurdiska			kur			
kut	Kutenai			kut			
lad	Ladino	Judisk spanska		lad			
lah	Lahnda			lah			
lam	Lamba		Zambia och Kongo	lam			
lao	Laotiska			lao			
lat	Latin			lat			
lav	Lettiska			lav			
lez	Lezginska			lez			
lim	Limburgiska			lim			
lin	Lingala			lin			
lit	Litauiska			lit			
lol	Mongo	Lolo		lol			
loz	Lozi			loz			
ltz	Luxemburgiska	Lëtzebuergesch		ltz			
lua	Luba-Lulua			lua			
lub	Luba-Katanga			lub			
lug	Luganda	Ganda		lug			
lui	Luiseño			lui			
lun	Lunda			lun			
luo	Luo		Kenya och Tanzania	luo			
lus	Mizo		Lushai	lus			
mac	Makedonska			mac	mkd	mkd	
mad	Maduresiska	Madura		mad			
mag	Magahi			mag			
mah	Marshallesiska			mah			
mai	Maithili			mai			
mak	Makasar			mak			
mal	Malayalam			mal			
man	Mande			man			
mao	Maori			mao	mri	mri	
map	Austronesiska språk			map			
mar	Marathi			mar			
mas	Maa	Massaj		mas			
may	Malajiska			may	msa	msa	
mdf	Moksja			mdf			
mdr	Mandar			mdr			
men	Mende			men			
mga	Medeliriska		Ca 1100-1550	mga			
mic	Mi'kmaq	Micmac		mic			
min	Minangkabau			min			
mis	Övriga språk			mis			
mkh	Mon-khmerspråk (övriga)			mkh			
mlg	Malagassiska			mlg			
mlt	Maltesiska			mlt			
mnc	Manchuiska	Manchuriska		mnc			
mni	Meitei	Manipuri|Meiteilon		mni			
mno	Manobospråk			mno			
moh	Mohawk			moh			
mol	Moldaviska		"Obsolet, använd ""rum"" (rumänska)"				rum
mon	Mongoliska språk			mon			
mos	Mòoré	Mossi		mos			
mul	Flera språk			mul			
mun	Mundaspråk (övriga)			mun			
mus	Muskogeanska			mus			
mwl	Mirandesiska			mwl			
mwr	Marwari			mwr			
myn	Mayaspråk	Mayanska språk		myn			
myv	Erzya	Erzia		myv			
nah	Nahuatl	Aztekiska		nah			
nai	Nordamerikanska indianspråk (övriga)			nai			
nap	Neapolitanska	Napolitanska		nap			
nau	Nauruanska			nau			
nav	Navajo	Navaho		nav			
nbl	Sydndebele		Sydafrika	nbi			
nde	Nordndebele		Zimbabwe	nde			
ndo	Ndonga			ndo			
nds	Lågtyska			nds			
nep	Nepali			nep			
new	Newari			new			
nia	Nias			nia			
nic	Niger-/Kongospråk (övriga)			nic			
niu	Niuean			niu			
nno	Nynorska		"jfr ""nor"" (norska)"	nno			
nob	Bokmål		"""nor"" (norska) föredras"	nob			
nog	Nogaiska			nog			
non	Fornisländska			non			
nor	Norska			nor			
nqo	N'Ko			nqo			
nso	Nordsotho			nso			
nub	Nubiska språk			nub			
nwc	Fornnewari			nwc			
nya	Chichewa	Nyanja		nya			
nym	Nyamwezi			nym			
nyn	Nyankole			nyn			
nyo	Nyoro			nyo			
nzi	Nzima			nzi			
oci	Occitanska	Langue d'oc	1500-	oci			
oji	Ojibwa	Chippewa		oji			
ori	Oriya			ori			
orm	Oromo			orm			
osa	Osage			osa			
oss	Ossetiska			oss			
osx	Fornlågtyska	Fornsaxiska	Ca 850-1050			osx	
ota	Osmanska	Ottomanska		ota			
oto	Otomispråk			oto			
paa	Papuanska språk (övriga)			paa			
pag	Pangasinan			pag			
pal	Pahlavi	Medelpersiska		pal			
pam	Pampanga			pam			
pan	Punjabi	Panjabi		pan			
pap	Papiamento			pap			
pau	Palauiska			pau			
peo	Fornpersiska		Ca 600-400 f.Kr.	peo			
per	Persiska			per	fas	fas	
phi	Filippinska språk (övriga)			phi			
phn	Feniciska	Puniska		phn			
pli	Pali			pli			
pol	Polska			pol			
pon	Pohnpei	Ponape		pon			
por	Portugisiska			por			
pra	Prakritspråk			pra			
pro	Provensalska	Provençalska		pro			
pus	Pashto			pus			
que	Quechua			que			
rai	Gujuri		"Obsolet; använd ""raj"" (rajasthani)"				raj
raj	Rajasthani			raj			
rap	Rapa nui	Rapanui		rap			
rar	Rarotongesiska			rar			
roa	Romanska språk (övriga)			roa			
roh	Rätoromanska			roh			
rom	Romani			rom			
rum	Rumänska			rum	ron	ron	
run	Kirundi	Rundi		run			
rup	Arumänska	Aromuniska|Aromaniska		rup			
rus	Ryska			rus			
sad	Sandawe			sad			
sag	Sango			sag			
sah	Jakutiska			sah			
sai	Sydamerikanskt indianspråk			sai			
sal	Saliskt språk			sal			
sam	Samaritanska			sam			
san	Sanskrit			san			
sas	Sasak			sas			
sat	Santali			sat			
scn	Siciliansk italienska			scn			
sco	Skotska			sco			
sel	Selkup			sel			
sem	Semitiskt språk			sem			
sga	Forniriska		-1100	sga			
sgn	Teckenspråk			sgn			
shn	Shan			shn			
sia	Akkalasamiska					sia	
sid	Sidami			sid			
sin	Singalesiska			sin			
sio	Sioux-språk			sio			
sit	Sino-tibetanskt språk			sit			
sjd	Kildinsamiska					sjd	
sje	Pitesamiska					sje	
sjk	Kemisamiska					sjk	
sjt	Tersamiska					sjt	
sju	Umesamiska					sju	
sla	Slaviskt språk			sla			
slo	Slovakiska			slo	slk	slk	
slv	Slovenska			slv			
sma	Sydsamiska			sma			
sme	Nordsamiska			sme			
smi	Samiskt språk		"Används restriktivt; se ""sia"" (akkalasamiska) ""sjd"" (kildinsamiska), ""sje"" (pitesamiska), ""sjk"" (kemisamiska), ""sjt"" (tersamiska), ""sju"" (umesamiska), ""sma"" (sydsamiska), ""sme"" (nordsamiska), ""smj"" (lulesamiska), ""smn"" (enaresamiska) och ""sms"" (skoltsamiska)"	smi			
smj	Lulesamiska			smj			
smn	Enaresamiska			smn			
smo	Samoanska			smo			
sms	Skoltsamiska			sms			
sna	Shona			sna			
snd	Sindhi			snd			
snk	Soninke			snk			
sog	Sogdiska			sog			
som	Somaliska			som			
son	Songhai			son			
sot	Sotho			sot			
spa	Spanska			spa			
srd	Sardiska			srd			
srn	Sranan			srn			
srp	Serbiska			srp			
srr	Serer			srr			
ssa	Nilo-sahariska språk (övriga)			ssa			
ssw	Swazi			ssw			
suk	Sukuma			suk			
sun	Sundanesiska			sun			
sus	Susu			sus			
sux	Sumeriska			sux			
swa	Swahili			swa			
swe	Svenska			swe			
swl	Svenskt teckenspråk					swl	
syc	Syriska, klassisk			syc			
syr	Syriska, modern			syr			
tah	Tahitiska			tah			
tai	Thaispråk			tai			
tam	Tamil			tam			
tat	Tatariska			tat			
tel	Telugu			tel			
tem	Temne			tem			
ter	Tereno			ter			
tet	Tetum			tet			
tgk	Tadzjikiska			tgk			
tgl	Tagalog			tgl			
tha	Thailändska			tha			
tib	Tibetanska			tib	bod	bod	
tig	Tigré			tig			
tir	Tigrinska	Tigrinja		tir			
tiv	Tivi			tiv			
tkl	Tokelauiska			tkl			
tlh	Klingon		Konstgjort språk	tlh			
tli	Tlingit			tli			
tmh	Tamashek			tmh			
tog	Tonga		Nyasa	tog			
ton	Tonga		Tongaöarna	ton			
tpi	Tok Pisin			tpi			
tsi	Tsimshian			tsi			
tsn	Tswana			tsn			
tso	Tsonga			tso			
tuk	Turkmeniska			tuk			
tum	Tumbuka			tum			
tup	Tupíspråk			tup			
tur	Turkiska			tur			
tut	Altaiskt språk			tut			
tvl	Tuvaluan			tvl			
twi	Twi			twi			
tyv	Tuvinska			tyv			
udm	Udmurtiska		Votjakiska	udm			
uga	Ugaritiska			uga			
uig	Uiguriska			uig			
ukr	Ukrainska			ukr			
umb	Umbundu			umb			
und	Odefinierat språk			und			
urd	Urdu			urd			
uzb	Uzbekiska			uzb			
vai	Vai			vai			
ven	Venda			ven			
vie	Vietnamesiska			vie			
vol	Volapük			vol			
vot	Votiska			vot			
wak	Wakusjiskt språk			wak			
wal	Walamo		Wolayta	wal			
war	Waray			war			
was	Washo			was			
wel	Kymriska			wel	cym	cym	
wen	Sorbiskt (vendiskt) språk			wen			
wln	Vallonska			wln			
wol	Wolof			wol			
xal	Kalmuckiska			xal			
xho	Xhosa			xho			
yao	Yao		Afrika	yao			
yap	Yap			yap			
yid	Jiddisch			yid			
yor	Yoruba			yor			
ypk	Eskimåspråk		Yupik-språk	ypk			
zap	Zapotek			zap			
zbl	Blissymboler			zbl			
zen	Zenaga			zen			
zha	Zhuang			zha			
znd	Zandespråk			znd			
zul	Zulu			zul			
zun	Zuni			zun			
zxx	Icke-språkligt medium			zxx			
zza	Zaza			zza			
